Course,Equivalent
CHLH 530,NUTR 530
CHLH 530,SOCW 570
CHLH 531,FSHN 531
CHLH 531,HDFS 552
CHLH 531,KIN 531
CHLH 531,NUTR 531
CHLH 531,SOCW 571
CHLH 540,KIN 540
CHLH 565,KIN 565
CHLH 565,RST 560
CHLH 565,SHS 565
CHLH 578,PATH 520
CHLH 580,GEOG 561
CHLH 580,LA 570
CI 433,LLS 433
CI 449,LLS 449
CI 484,HRD 472
CI 485,EPSY 485
CI 512,AFST 555
CI 517,LLS 517
CI 518,EPSY 572
CI 545,EPSY 554
CI 550,EPOL 550
CI 550,EPSY 573
CI 550,SPED 550
CI 555,EPSY 555
CI 555,INFO 555
CI 563,ENGL 505
CI 565,ENGL 582
CI 566,ENGL 583
CI 569,ENGL 584
CI 581,DANC 581
CI 584,EALC 584
CI 584,EPSY 563
CI 584,FR 584
CI 584,GER 584
CI 584,ITAL 584
CI 584,LING 584
CI 584,PORT 584
CI 584,SPAN 584
CI 586,ENGL 586
CLCV 160,REL 160
CLCV 203,PHIL 203
CLCV 206,CWL 206
CLCV 217,ARTH 215
CLCV 220,CWL 220
CLCV 221,CWL 263
CLCV 222,CWL 264
CLCV 222,THEA 210
CLCV 231,ARTH 217
CLCV 232,ARTH 218
CLCV 232,REL 232
CLCV 240,CWL 262
CLCV 240,GWS 240
CLCV 323,CWL 322
CLCV 323,THEA 323
CLCV 410,ARCH 410
CLCV 411,ARCH 411
CLCV 415,CMN 415
CLCV 415,MDVL 415
CLCV 430,CWL 430
CLCV 430,ENGL 486
CLCV 430,GER 405
CLCV 430,SLAV 430
CLCV 430,SPAN 436
CLCV 430,TRST 431
CLCV 440,HIST 440
CLCV 443,ARTH 415
CLCV 444,ARTH 416
CLCV 490,CWL 490
CLCV 515,ARTH 515
CLCV 520,ARTH 520
CMN 325,MACS 322
CMN 325,PS 312
CMN 357,LING 357
CMN 415,CLCV 415
CMN 415,MDVL 415
CMN 424,PS 411
CMN 432,GWS 432
CMN 432,LING 432
CMN 465,CHLH 465
CPSC 180,HORT 180
CPSC 226,HORT 226
CPSC 261,HORT 261
CPSC 270,IB 220
CPSC 270,NRES 270
CPSC 336,CHLH 336
CPSC 336,ENVS 336
CPSC 352,NRES 352
CPSC 407,PLPA 407
CS 102,INFO 102
CS 107,IS 107
CS 107,STAT 107
CS 357,MATH 357
CS 361,STAT 361
CS 374,ECE 374
CS 413,MATH 413
CS 418,CSE 427
CS 420,CSE 402
CS 420,ECE 492
CS 423,CSE 423
CS 425,ECE 428
CS 427,CSE 426
CS 428,CSE 429
CS 433,CSE 422
CS 436,ECE 435
CS 438,ECE 438
CS 439,ECE 439
CS 440,ECE 448
CS 450,CSE 401
CS 450,ECE 491
CS 450,MATH 450
CS 460,ECE 419
CS 461,ECE 422
CS 463,ECE 424
CS 468,ADV 492
CS 473,CSE 414
CS 473,MATH 473
CS 475,MATH 475
CS 477,ECE 478
CS 481,IE 410
CS 482,IE 413
CS 483,CSE 408
CS 483,ECE 408
CS 508,ECE 508
CS 513,IS 532
CS 519,CSE 527
CS 533,CSE 522
CS 536,ECE 542
CS 539,ECE 526
CS 541,ECE 541
CS 543,ECE 549
CS 547,IE 534
CS 548,ECE 548
CS 549,PSYC 514
CS 549,ANTH 514
CS 549,EPSY 551
CS 549,LING 570
CS 549,PHIL 514
CS 554,CSE 512
CS 555,CSE 510
CS 556,CSE 511
CS 558,CSE 513
CS 563,ECE 524
CS 571,MATH 580
CS 572,MATH 581
CS 573,CSE 515
CS 575,MATH 584
CS 579,ECE 579
CS 581,BIOE 540
CS 584,ECE 584
CS 585,ECE 519
CS 586,IE 519
CSE 401,CS 450
CSE 401,ECE 491
CSE 401,MATH 450
CSE 402,CS 420
CSE 402,ECE 492
CSE 408,CS 483
CSE 408,ECE 408
CSE 412,ME 412
CSE 414,CS 473
CSE 414,MATH 473
CSE 422,CS 433
CSE 423,CS 423
CSE 426,CS 427
CSE 427,CS 418
CSE 428,STAT 428
CSE 429,CS 428
CSE 440,STAT 440
CSE 441,ECE 490
CSE 448,STAT 448
CSE 450,TAM 470
CSE 451,AE 420
CSE 451,ME 471
CSE 461,AE 410
CSE 485,MSE 485
CSE 485,PHYS 466
CSE 505,BIOE 505
CSE 510,CS 555
CSE 511,CS 556
CSE 512,CS 554
CSE 513,CS 558
CSE 515,CS 573
CSE 517,TAM 574
CSE 521,ECE 511
CSE 522,CS 533
CSE 525,STAT 525
CSE 527,CS 519
CSE 529,NPRE 529
CSE 530,ECE 540
CSE 532,ECE 552
CSE 542,ASRM 551
CSE 542,STAT 542
CSE 543,ECE 547
CSE 551,CEE 570
CSE 552,CEE 576
CSE 553,CEE 577
CSE 554,CEE 571
CSE 560,TAM 570
CSE 561,ME 554
CSE 566,ATMS 502
CSE 576,BIOP 576
CSE 576,CHEM 576
CWL 111,ENGL 114
CWL 111,REL 101
CWL 112,ENGL 112
CWL 117,SLAV 117
CWL 119,ENGL 119
CWL 206,CLCV 206
CWL 207,MACS 207
CWL 208,ASST 208
CWL 208,REL 208
CWL 208,SAME 208
CWL 209,JS 209
CWL 209,ENGL 222
CWL 210,AFST 210
CWL 210,ENGL 211
CWL 211,JS 211
CWL 211,SAME 211
CWL 212,JS 212
CWL 212,SAME 212
CWL 215,SCAN 215
CWL 216,ENGL 216
CWL 216,MDVL 216
CWL 218,UKR 218
CWL 220,CLCV 220
CWL 221,ENGL 223
CWL 221,JS 220
CWL 221,REL 220
CWL 221,YDSH 220
CWL 223,REL 223
CWL 223,SAME 223
CWL 224,GER 200
CWL 225,AFST 209
CWL 225,FR 240
CWL 225,LAST 240
CWL 226,AFRO 224
CWL 227,RUSS 220
CWL 240,ITAL 240
CWL 240,MDVL 240
CWL 245,POL 245
CWL 249,RUSS 225
CWL 250,ENGL 267
CWL 250,GER 250
CWL 251,MDVL 251
CWL 251,REL 251
CWL 251,SCAN 251
CWL 252,MDVL 252
CWL 252,SCAN 252
CWL 253,ENGL 202
CWL 253,MDVL 201
CWL 254,ENGL 266
CWL 254,GER 251
CWL 255,ENGL 204
CWL 257,ENGL 206
CWL 259,AFRO 259
CWL 259,ENGL 259
CWL 260,AFRO 260
CWL 260,ENGL 260
CWL 262,CLCV 240
CWL 262,GWS 240
CWL 263,CLCV 221
CWL 264,CLCV 222
CWL 264,THEA 210
CWL 267,ENGL 245
CWL 269,ENGL 248
CWL 271,ENGL 268
CWL 271,GER 260
CWL 272,GER 270
CWL 272,GWS 270
CWL 273,ENGL 269
CWL 273,GER 261
CWL 273,JS 261
CWL 275,EALC 275
CWL 276,EALC 276
CWL 276,ENGL 276
CWL 277,SLAV 277
CWL 283,ENGL 283
CWL 283,REL 283
CWL 284,ENGL 284
CWL 284,JS 284
CWL 284,REL 284
CWL 307,EALC 307
CWL 308,EALC 308
CWL 311,EALC 305
CWL 312,EALC 306
CWL 317,FR 319
CWL 320,ENGL 359
CWL 320,JS 320
CWL 320,REL 320
CWL 320,YDSH 320
CWL 321,RUSS 320
CWL 322,CLCV 323
CWL 322,THEA 323
